topic_id,axis,role,n_word_hits,n_label_hits,word_hits,label_hits,label,content_type,exclude_from_axes,is_noise,top_main_words
1,kissing_control,positive_control,6,1,kiss;kissed;kisses;kissing;lips;tongue,kissing,Straps Sliding Down Her Arms,scene,False,False,"kiss,my,kissed,lips,kisses,mine,me,kissing,tongue,his"
7,kissing_control,positive_control,5,4,kiss;kissed;lips;mouth;tongue,kisses;kissing;lips;tongue,Kissing With Tongue and Urgency,scene,False,False,"kissed,kiss,lips,clit,cock,tongue,mouth,her,pussy,hers"
41,kissing_control,positive_control,5,1,kiss;kissed;lips;mouth;tongue,kiss,Gripping Her Neck and Pulling Close,scene,False,False,"my,neck,mine,tongue,kissed,her,lips,kiss,mouth,against"
197,kissing_control,positive_control,4,4,kiss;kissed;kisses;kissing,kiss;kisses;kissing;mouth,Lingering Farewell Kiss,scene,False,False,"kiss,kissed,kissing,wanted,hadn,kisses,her,she,never,he"
63,kissing_control,positive_control,2,0,mouth;tongue,,Cupping and Pinching Her Nipples,scene,False,False,"nipple,breasts,nipples,breast,cupped,mouth,her,thumbs,hands,tongue"
368,kissing_control,positive_control,2,2,lips;tongue,lips;mouth,Lips Curving Into A Smile,scene,False,False,"lip,lips,bit,curled,thinned,curved,lower,tongue,upward,bottom"
5,kissing_control,positive_control,1,0,lips,,Flirtatious Wink Across The Room,scene,False,False,"smile,smiled,grin,grinned,winked,smiling,lips,gave,face,at"
101,kissing_control,positive_control,1,0,brushed,,Smoothing Loose Strands of Hair,scene,False,False,"hair,fingers,strand,stroked,ear,brushed,strands,tucked,her,hand"
57,kissing_control,positive_control,0,1,,mouth,Hands Raised in Reassuring Gesture,scene,False,False,"fists,hand,held,clenched,hands,his,sides,lifted,fist,finger"
73,kissing_control,positive_control,0,1,,kiss,Quick Remarks Before Moving on,discourse,False,False,"looked,cobey,howell,look,at,father,had"
90,kissing_control,positive_control,0,1,,mouth,Silenced By A Head Shake,scene,False,False,"shook,head,shaking,her,shake,she,lauren,kat,slowly"
230,kissing_control,positive_control,0,2,,kissing;tongue,Tongue and Hands After Climax,scene,False,False,"jace,sawyer,jacen,link,quent,hawkes,binds,parker,mate"
279,kissing_control,positive_control,0,1,,mouth,Blue Eyes Darkening With Invitation,scene,False,False,"blue,eyes,green,flashed,dark,brown,sparkled,sparkle,glittered,flashing"
289,kissing_control,positive_control,0,1,,kiss,Quick Peck on The Forehead,scene,False,False,"nate,derick,walter,wiener,jr,israfel,shame,mate,gesturing"
316,kissing_control,positive_control,0,1,,mouth,Snapping Over Money and Control,scene,False,False,"lucas,fallon,otherwise,stared,thoughtful,shout,lya,tallmadge,duchesne,recliners"
61,luxury_H3,target,4,2,diamond;diamonds;gold;jewelry,diamond;gold,Planning to Exchange Rings,scene,False,False,"ring,necklace,finger,diamond,stone,jewelry,gold,engagement,rings,diamonds"
121,luxury_H3,target,2,1,exquisite;servant,exquisite,Revealing Plans to The Prince,subgenre_marker,False,False,"king,prince,queen,throne,servant,servants,royal,crown,kingdom,regent"
7,luxury_H3,target,1,1,exquisite,exquisite,Kissing With Tongue and Urgency,scene,False,False,"kissed,kiss,lips,clit,cock,tongue,mouth,her,pussy,hers"
18,luxury_H3,target,1,1,gown,gown,Ordering A Gown For Her,scene,False,False,"dress,wear,clothes,wearing,dressed,gown,jeans,shirt,dresses,suit"
32,luxury_H3,target,1,0,champagne,,Offering Someone A Drink,scene,False,False,"drink,wine,drunk,drinking,beer,alcohol,drinks,bottle,sober,champagne"
54,luxury_H3,target,1,1,exquisite,exquisite,Ordering Food and Dessert,scene,False,False,"cake,cream,pie,butter,ice,dessert,soup,salad,bread,chicken"
72,luxury_H3,target,1,1,exquisite,exquisite,Complimenting Her Beauty Aloud,scene,False,False,"beautiful,look,ugly,cute,perfect,sexy,pretty,re,you,are"
106,luxury_H3,target,1,0,yacht,,Running Along The River Bank,scene,False,False,"boat,ship,beach,fence,river,ships,yacht,boats,aboard,crew"
147,luxury_H3,target,1,1,exquisite,estate,Painting A House to Sell,scene,False,False,"painting,art,paint,treasure,museum,gallery,paintings,artist,painted,galleries"
188,luxury_H3,target,1,1,exquisite,exquisite,Spell Cast Upon Someone,subgenre_marker,False,False,"magic,spell,magick,spells,spirits,spirit,mages,powers,magical,mage"
200,luxury_H3,target,1,0,jet,,Racing to Catch A Flight,scene,False,False,"flight,plane,fly,trip,airport,jet,flying,travel,airlines,flown"
209,luxury_H3,target,1,1,exquisite,exquisite,Flowers Held With Guilty Glance,scene,False,False,"flowers,roses,vase,flower,bouquet,daisies,yellow,red,rose,vases"
215,luxury_H3,target,1,1,fortune,fortune,Confessing A Run of Bad Luck,scene,False,False,"lucky,luck,fortunate,fortune,luckiest,bad,unlucky,charm,very,charms"
230,luxury_H3,target,1,1,exquisite,exquisite,Tongue and Hands After Climax,scene,False,False,"jace,sawyer,jacen,link,quent,hawkes,binds,parker,mate"
292,luxury_H3,target,1,1,exquisite,exquisite,Erection Straining Against His Trousers,scene,False,False,"cock,blasius,balls,swelled,throbbed,cum,his,aching,pre,swollen"
299,luxury_H3,target,1,1,exquisite,exquisite,Pledging to Have Your Back,scene,False,False,"dane,eoin,dan,would,alicia,seen,handle,time"
308,luxury_H3,target,1,1,exquisite,exquisite,Squinting to Read The Watch,scene,False,False,"watch,checked,glanced,wristwatch,at,looked,wrist,checking,pocket,squinted"
333,luxury_H3,target,1,0,manor,,Witches Warned By The Coven,subgenre_marker,False,False,"witch,witches,coven,salem,mariketa,witchy,witchcraft,magic,element,manor"
337,luxury_H3,target,1,1,exquisite,exquisite,Adjusting to His Presence Inside Her,scene,False,False,"touch,touched,wanted,touching,craved,him,body,her,desire,inside"
105,luxury_H3,target,0,1,,ballroom,Swept Onto The Dance Floor,scene,False,False,"dance,dancing,danced,dances,waltz,floor,dancer,ballet,dancers,slow"
216,luxury_H3,target,0,2,,jewelry;velvet,Opening A Velvet Box,scene,False,False,"box,boxes,small,cardboard,opened,package,wooden,handed,wrapped,rectangular"
253,luxury_H3,target,0,1,,golden,Hair Pinned Up in Style,scene,False,False,"hair,ponytail,loose,bun,braid,blonde,curls,blond,long,brown"
278,luxury_H3,target,0,1,,luxury,Irritation Fading Into Distraction,scene,False,False,"djal,deer,said,taskmasters,outmaneuvering,eifel"
174,possessive_control,positive_control,2,0,belongs;owned,,Ranch Life and Falling in Love,scene,False,False,"ranch,farm,cattle,cows,cow,farmer,rancher,ranches,land,pa"
293,possessive_control,positive_control,2,3,jealous;jealousy,jealous;jealousy;possessive,Admitting Jealousy Out Loud,scene,False,False,"jealous,jealousy,jealously,sliver,irrational,twinge,pang,emotion,be,being"
1,possessive_control,positive_control,1,0,mine,,Straps Sliding Down Her Arms,scene,False,False,"kiss,my,kissed,lips,kisses,mine,me,kissing,tongue,his"
17,possessive_control,positive_control,1,0,belongs,,Discussing Rooms and Privacy,scene,False,False,"house,hotel,room,apartment,bedroom,rent,upstairs,home,bedrooms,living"
41,possessive_control,positive_control,1,0,mine,,Gripping Her Neck and Pulling Close,scene,False,False,"my,neck,mine,tongue,kissed,her,lips,kiss,mouth,against"
82,possessive_control,positive_control,1,0,belongs,,Touch Her and Your Family Suffers,scene,False,False,"touch,touching,cock,touched,pussy,suck,me,want,you,dick"
106,possessive_control,positive_control,1,0,belongs,,Running Along The River Bank,scene,False,False,"boat,ship,beach,fence,river,ships,yacht,boats,aboard,crew"
117,possessive_control,positive_control,1,0,belongs,,Blamed and Threatened Into Compliance,scene,False,False,"fault,blame,your,wasn,blamed,not,it,my,all,don"
144,possessive_control,positive_control,1,0,belonged,,Moving on to The Next Destination,scene,False,False,"alone,gone,london,she,where,leave,home,left,go,stay"
185,possessive_control,positive_control,1,0,belongs,,Promising to Handle It,scene,False,False,"care,take,taking,yourself,ll,myself,taken,of,takin,you"
315,possessive_control,positive_control,1,4,belongs,belongs;claim;own;possessive,Claiming Her As His Own,scene,False,False,"tristan,adrienne,simon,colby,comfortable,damon,crispus,sey,presuaded"
357,possessive_control,positive_control,1,1,belonged,belonged,Arguing Over The Local Club,scene,False,False,"club,clubs,members,stag,cinema,local,dancers,swimming,waspy"
359,possessive_control,positive_control,1,0,owned,,,,,,"carlos,miguel,mi,vida,en,tu"
78,possessive_control,positive_control,0,3,,claim;possessive;rival,Swearing War Before He Takes Her,scene,False,False,"fight,fighting,war,battle,fought,fights,fighter,win,battles,we"
141,possessive_control,positive_control,0,1,,own,Warned to Use His Title,scene,False,False,"bo,lewis,si,vasco,derek,tickles,stage,maxum,maxim"
155,possessive_control,positive_control,0,3,,claim;claimed;possessive,Stop Running or Be Claimed,scene,False,False,"run,running,ran,away,race,you,runners,fast,runner,now"
