feature,group,tertile,mean,median,sd,n
RADWAY_I,high_rate,begin,0.23760689841031057,0.2375817916099246,0.04218836849709927,5086
RADWAY_I,high_rate,middle,0.23579567163474105,0.23476605005440696,0.04042804982761211,5085
RADWAY_I,high_rate,end,0.23181841984513132,0.23025473174896827,0.040381124641872726,5085
RADWAY_I,low_rate,begin,0.2383144097907984,0.2383026587954645,0.05055305626747064,5390
RADWAY_I,low_rate,middle,0.23722324561956784,0.23652482269503547,0.04933976230542268,5389
RADWAY_I,low_rate,end,0.23526105212351733,0.23422680412371133,0.049073386444556666,5389
RADWAY_I,mid_rate,begin,0.23930720006685688,0.23926816214171276,0.044535361228825954,5524
RADWAY_I,mid_rate,middle,0.23814514848176563,0.23699621081639682,0.043311632836512425,5523
RADWAY_I,mid_rate,end,0.23526393279165728,0.23449830890642615,0.0427950680023023,5523
RADWAY_II,high_rate,begin,0.18126054829200294,0.17772398192859462,0.03616034459783482,5086
RADWAY_II,high_rate,middle,0.18563259419199318,0.18134715025906736,0.03664893799202055,5085
RADWAY_II,high_rate,end,0.17899556474687603,0.17581823099810656,0.034527802423194635,5085
RADWAY_II,low_rate,begin,0.1784547354222678,0.1746031746031746,0.03475023594868396,5390
RADWAY_II,low_rate,middle,0.1837542034123021,0.1796875,0.03526595661200591,5389
RADWAY_II,low_rate,end,0.17788423536948542,0.17389745428468986,0.03516845377140367,5389
RADWAY_II,mid_rate,begin,0.18072154877371815,0.1775563656015805,0.03270087531493181,5524
RADWAY_II,mid_rate,middle,0.18472731945041723,0.1814611154752553,0.03382205413373839,5523
RADWAY_II,mid_rate,end,0.17896314606826458,0.17615176151761516,0.031966740891768305,5523
RADWAY_III,high_rate,begin,0.0859852842419047,0.07812898625748416,0.03938278589471451,5086
RADWAY_III,high_rate,middle,0.10189201607415041,0.09598214285714286,0.04266237065696264,5085
RADWAY_III,high_rate,end,0.10181049792305125,0.0964765100671141,0.03955192928714127,5085
RADWAY_III,low_rate,begin,0.08664630793605435,0.07768107191957693,0.040442530761113184,5390
RADWAY_III,low_rate,middle,0.10491475348033917,0.0966183574879227,0.04660138562398285,5389
RADWAY_III,low_rate,end,0.1060394059314427,0.09846650524616626,0.04487738529456957,5389
RADWAY_III,mid_rate,begin,0.08517507931631071,0.07655778704054567,0.0401703854924597,5524
RADWAY_III,mid_rate,middle,0.10360358231014284,0.09632330598602248,0.044802315882640546,5523
RADWAY_III,mid_rate,end,0.10354253919189421,0.0968783638320775,0.04064802094427165,5523
