family,level,prevalence,conditional_intensity,unconditional_mean
emotional_security,strict,0.9993749609350584,0.024310569369879992,0.024295374314332846
emotional_security,moderate,0.9996874804675292,0.05745422689425614,0.05743627132612867
emotional_security,broad,0.9997499843740234,0.10668916192592603,0.1066624879683222
protective_commitment,strict,0.0,,0.0
protective_commitment,moderate,0.9976873554597162,0.007783789394012324,0.007765788255967542
protective_commitment,broad,0.9994999687480468,0.03971719693641312,0.039697337096704935
enacted_protection,strict,0.9862491405712857,0.0029254140436084236,0.0028851870863239775
enacted_protection,moderate,0.9951246952934558,0.007555913257960815,0.00751907587849204
enacted_protection,broad,0.9968748046752922,0.009491895741716752,0.009462231713522127
practical_care,strict,0.997999874992187,0.009194130462437474,0.00917574105217446
practical_care,moderate,0.9993749609350584,0.014578629915806305,0.014569517702595599
practical_care,broad,0.9994999687480468,0.01870753189863804,0.01869817754804181
material_security,strict,0.0,,0.0
material_security,moderate,0.9993124570285643,0.021276852106285365,0.021262223356165413
material_security,broad,0.9993749609350584,0.022901758022856464,0.022887443529436335
appearance,strict,0.9991249453090818,0.01606472631629815,0.016050668802176756
appearance,moderate,0.9994999687480468,0.02185016927254633,0.021839243505049587
appearance,broad,0.9994999687480468,0.024944579219953637,0.024932106150776838
possessive_security,strict,0.9763735233452091,0.002524387669668002,0.0024647452833229484
possessive_security,moderate,0.9937496093505844,0.006048582062573508,0.006010776061807376
possessive_security,broad,0.9970623163947747,0.007461322937505188,0.007439403931438389
