promise_type,n_topics,cliffs_delta,ci_low,ci_high,verdict,note
protective_commitment,4,0.20978439717906006,0.1889968556781787,0.23207449241755845,clears_gate,
enacted_external_protection,1,0.1596908019693486,0.14099617585143623,0.1815888402534488,clears_gate,
non_harm_safety,1,0.13765705282027207,0.11748152595545885,0.15742961916056994,clears_gate,
emotional_reassurance,4,0.10445196945438795,0.08233704918197866,0.12745035345663785,directional_only,
trust_reliability,1,0.09336933049926865,0.07252242410316176,0.1127509955504969,directional_only,
practical_care,5,0.05945913622125487,0.036762446542953506,0.07906649623506673,directional_only,
possessive_protection,3,0.04261925900672847,0.02228976596053174,0.06412796303651419,directional_only,
belonging_presence,3,-0.014350973608361905,-0.03344561134312792,0.006617640673932202,no reliable effect,
long_term_partnership,3,-0.01931473405979045,-0.04224333849694696,0.0002230297265215882,no reliable effect,
material_provision,5,-0.0401731159298514,-0.061600188212002034,-0.020170971700921216,directional_only,
