hypothesis,feature,label,result_level,measurement_status,n_topics,n_topics_display,effect_size,ci_low,ci_high,adjusted_coefficient,adjusted_ci_low,adjusted_ci_high,adjusted_p_value,adjusted_sign,adjusted_sign_aligned,adjusted_p_lt_05,clears_delta_gate,specification_stable,confirmatory_or_exploratory,verdict,focus,notes
H1,RAX_emotional_reassurance,emotional reassurance,component,viable,1.0,1,0.13636526160869922,0.10457863467444245,0.16778439638105103,0.24018463354836092,0.04378990093084756,0.4365793661658743,0.01653105909912663,1,True,True,True,,confirmatory_component,clears_gate,True,
H1,RAX_nonexplicit_affection,non-explicit affection,component,viable,2.0,2,0.03433360378516781,0.007158569138166526,0.06583984834790711,0.8583231451233855,0.26585774411343066,1.4507885461333403,0.004518980639269381,1,True,True,False,True,confirmatory_component,directional_only,True,
H1,RAX_explicit_sex,explicit sex,component,viable,0.0,0,-0.07525546679867456,-0.10398024882083755,-0.04374139849607118,0.2094406596946614,-0.5378654531476789,0.9567467725370017,0.582798759077461,1,False,False,False,True,confirmatory_component,directional_only,True,
H3,RAX_h3_emotional_side,emotional security side,component,viable,11.0,11,0.0601839855688322,0.030934783482227456,0.08909934493014339,0.2277461772412493,-0.2470758276990795,0.7025681821815781,0.3471726007168038,1,True,False,False,,confirmatory_component,directional_only,True,
H3,RAX_appearance_grooming,appearance / grooming,component,viable,6.0,6,-0.1423947881190234,-0.17014670563420728,-0.11430760239048719,-3.4643594813120697,-4.245859499684742,-2.6828594629393976,3.6743449741953515e-18,-1,True,True,True,True,confirmatory_component,clears_gate,True,
H4,RAX_external_protection,external protection (atom),component,thin,1.0,1,0.1596908019693486,0.13280861369349825,0.1879974974464367,7.518460727295441,5.059198620898034,9.977722833692848,2.0726882259993997e-09,1,True,True,True,True,confirmatory_component,thin:clears_gate,True,
H4,RAX_h4_possession_side,possession / control,component,viable,3.0,3,0.04261925900672847,0.014066604712617047,0.06947289232160514,0.46131963947221466,-0.1118058270262634,1.0344451059706927,0.11465466747138837,1,True,False,False,,confirmatory_component,directional_only,True,
H5,RAX_tenderness_core,tenderness core,component,viable,2.0,2,0.13470526283605788,0.10395121290459577,0.16455446746491484,0.5446992299454537,0.31052354169606655,0.7788749181948409,5.141458720824845e-06,1,True,True,True,True,confirmatory_component,clears_gate,True,
H5,RAX_external_danger_crisis,external danger / crisis,component,viable,5.0,5,0.11590974813829336,0.0890196895074167,0.14251100778034506,0.1710841255536947,-0.1790410605426456,0.521209311650035,0.3382085338872336,1,True,False,True,True,confirmatory_component,clears_gate,True,
H5,RAX_relational_darkness,relational darkness,component,viable,20.0,20,0.06514220028608686,0.0359411394008371,0.09342498645832992,0.24731139001767433,-0.032147791532263215,0.5267705715676119,0.08282974386628887,1,True,False,False,True,confirmatory_component,directional_only,True,
H5,RAX_individual_distress,individual distress,component,viable,9.0,9,0.037956646514976766,0.01000927925319237,0.06681291943268647,0.12711854676661719,-0.2882034790146182,0.5424405725478526,0.5485791567588908,1,True,False,False,,confirmatory_component,directional_only,False,
H6,DELTA_falling,falling Δ (end−begin),component,viable,,—,-0.08210269721889463,-0.10495779166284534,-0.059482848838465815,-2.058759206168088,-2.7098932996528946,-1.407625112683282,5.75405658957523e-10,-1,True,True,False,,confirmatory_component,directional_only,False,
H6,DELTA_rising,rising Δ (end−begin),component,viable,,—,-0.09811293989803294,-0.12182351254073098,-0.07587215209745651,-1.0205555739809606,-1.3968150219877968,-0.6442961259741244,1.0598500898957919e-07,-1,True,True,False,,confirmatory_component,directional_only,False,
