,count,mean,std,min,25%,50%,75%,max,missing_count,missing_pct
work_id,52585.0,30247442.45944661,16181078.80337601,2363.0,19011519.0,26102897.0,44798348.0,58196218.0,0,0.0
publication_year,52585.0,2012.7517733193877,3.256302906274463,2000.0,2012.0,2013.0,2015.0,2017.0,0,0.0
num_pages_median,52585.0,261.1979842160312,101.07425882082914,90.0,188.0,256.0,329.0,980.0,0,0.0
author_id,52585.0,4808235.605628981,3878167.0229372857,23.0,1120626.0,4890658.0,7021666.0,17253520.0,0,0.0
author_average_rating,52585.0,3.9073610345155467,0.2593615730619324,1.27,3.75,3.92,4.08,5.0,0,0.0
author_ratings_count,52585.0,48443.56704383379,194540.74071510302,1.0,835.0,5051.0,25708.0,5280268.0,0,0.0
ratings_count_sum,52585.0,1748.5170295711705,14424.07025790233,1.0,47.0,182.0,809.0,1686868.0,0,0.0
text_reviews_count_sum,52585.0,143.35721213273746,745.2265279328641,0.0,11.0,32.0,98.0,74298.0,0,0.0
average_rating_weighted_mean,52585.0,3.913449774951032,0.34728383873163754,1.27,3.7045875,3.93,4.15,5.0,0,0.0
decade,52585.0,2008.6916421032613,3.37223884692637,2000.0,2010.0,2010.0,2010.0,2010.0,0,0.0
series_works_count_numeric,35469.0,7.441033014745271,19.165781119263976,0.0,3.0,4.0,8.0,723.0,17116,32.54920604735191
series_flag,52585.0,0.6745079395264809,0.46856286046716805,0.0,0.0,1.0,1.0,1.0,0,0.0
