slide_id,feature,include,display_order,emphasis
S08,RAX_emotional_reassurance,1,1,primary
S08,RAX_tenderness_core,1,2,primary
S08,RAX_appearance_grooming,1,3,primary
S08,RAX_external_danger_crisis,1,4,secondary
S08,RAX_external_protection,1,5,caveat
S08,RAX_explicit_sex,1,6,secondary
S09,RAX_tenderness_core,1,1,primary
S09,RAX_explicit_sex,1,2,primary
S09,RAX_appearance_grooming,1,3,primary
S09,RAX_h3_emotional_side,1,4,secondary
S09,RAX_external_danger_crisis,1,5,secondary
S12,emotion_containment,1,1,primary
S12,emotion_coregulation,1,2,primary
S12,felt_body,1,3,primary
S12,supportive_social_embeddedness,1,4,secondary
S12,body_grooming,1,5,secondary
